CommissionRef,CommissionSystemId,CommissionID,Trialref,Commbody,Commtype,Commexists,Commdate,Commdate_as_date,Seal,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"CO_LA_76","LA",76,"T_LA_24","Privy_Council","Investigation",1,"23_3_1630","03_23_30_00:00:00",,,"LEM","06_14_01_14:06:00","LEM","06_14_01_14:06:15"
"CO_LA_77","LA",77,"T_LA_97","Privy_Council","Investigation",1,"26_5_1630","05_26_30_00:00:00",,"ordered_to_appear_before_the_PC_to_answer_charges_laid_on_her_by_Jon_Neill_on_10_6_1630","LEM","06_14_01_14:16:44","jhm","10_02_02_15:39:33"
"CO_LA_78","LA",78,"T_LA_97","Privy_Council","Investigation",1,"10_6_1630","06_10_30_00:00:00",,"appeared_before_PC","LEM","06_14_01_14:23:03","LEM","06_14_01_14:24:12"
"CO_LA_782","LA",782,"T_LA_172","Privy_Council",,1,"25_6_1591","06_25_91_00:00:00",,"proclamation_against_him","LEM","10_16_01_10:57:01","LEM","10_16_01_10:57:27"
"CO_LA_783","LA",783,"T_LA_999","Privy_Council","Investigation",1,"13_4_1632","04_13_32_00:00:00",,"to_be_examined_by_the_Archbishop_of_Glasgow.","LEM","10_16_01_11:53:50","LEM","10_16_01_11:54:16"
"CO_LA_784","LA",784,"T_LA_1001","Privy_Council",,1,"14_1_1634","01_14_34_00:00:00",,"They_ordered_all_actions_against_Fraser_and_Chalmers_stopped.","LEM","10_16_01_12:41:38","LEM","10_16_01_12:54:47"
"CO_LA_785","LA",785,"T_LA_1002","Privy_Council",,1,"14_1_1634","01_14_34_00:00:00",,"They_ordered_all_action_dropped","LEM","10_16_01_13:12:17","LEM","10_16_01_13:12:41"
"CO_LA_786","LA",786,"T_LA_1005","Privy_Council",,1,"10_11_1642","11_10_42_00:00:00",,"the_commissioners_given_permission_to_sentence_her","LEM","10_16_01_16:00:21","LEM","10_16_01_16:00:41"
"CO_LA_787","LA",787,"T_LA_1006","Privy_Council","Justiciary",1,"23_4_1642","04_23_42_00:00:00",,"they_were_ordered_to_report_to_the_PC_for_sentencing.","LEM","10_16_01_16:04:40","LEM","10_16_01_16:05:11"
"CO_LA_788","LA",788,"T_LA_1006","Privy_Council",,1,"15_11_1642","11_15_42_00:00:00",,"they_ordain_the_commissioners_to_pass_sentence","LEM","10_16_01_16:05:12","jhm","10_03_02_12:08:13"
"CO_LA_789","LA",789,"T_LA_1007","Privy_Council","Justiciary",1,"24_1_1643","01_24_43_00:00:00",,"to_report_back_for_sentencing","LEM","10_16_01_16:18:51","LEM","10_16_01_16:19:13"
"CO_LA_79","LA",79,"T_LA_24","Privy_Council","Investigation",1,"1_7_1630","07_01_30_00:00:00",,"Also_investigating_John_Smith_and_Katharine_Wilsone","LEM","06_14_01_14:28:07","jhm","10_21_02_16:20:33"
